Timestamp,Namespace,Pod,Container,CPU (millicores),Memory (MB)
2024-11-23T18:43:59.562286,argocd,argocd-redis-7855f78d87-9vqnb,redis,1.010078,11.18359375
2024-11-23T18:43:59.562453,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.795277,54.6640625
2024-11-23T18:43:59.562603,argocd,argocd-server-858f464b75-j92hs,server,0.345695,43.703125
2024-11-23T18:44:14.642525,argocd,argocd-application-controller-0,application-controller,4.004888,164.4453125
2024-11-23T18:44:14.643409,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.256288,43.109375
2024-11-23T18:44:14.643602,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.03875,97.82421875
2024-11-23T18:44:14.643712,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.096307,36.7265625
2024-11-23T18:44:14.643814,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.872306,11.18359375
2024-11-23T18:44:14.643912,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.735163,54.66796875
2024-11-23T18:44:14.644006,argocd,argocd-server-858f464b75-j92hs,server,0.328892,43.703125
2024-11-23T18:44:29.728498,argocd,argocd-application-controller-0,application-controller,3.170853,165.078125
2024-11-23T18:44:29.729302,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.501839,43.109375
2024-11-23T18:44:29.729514,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.030735,97.82421875
2024-11-23T18:44:29.729698,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.072844,36.7265625
2024-11-23T18:44:29.729881,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.899144,10.93359375
2024-11-23T18:44:29.730030,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.76019,54.671875
2024-11-23T18:44:29.730157,argocd,argocd-server-858f464b75-j92hs,server,0.321535,43.703125
2024-11-23T18:44:44.783213,argocd,argocd-application-controller-0,application-controller,3.00209,165.7109375
2024-11-23T18:44:44.783446,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.501839,43.109375
2024-11-23T18:44:44.783531,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.060813,97.82421875
2024-11-23T18:44:44.783596,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.075853,36.7265625
2024-11-23T18:44:44.783659,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.899144,10.93359375
2024-11-23T18:44:44.783714,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.470158,54.671875
2024-11-23T18:44:44.783777,argocd,argocd-server-858f464b75-j92hs,server,0.29369,43.703125
