{'Timestamp': '2024-11-22T21:28:24.820338', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.635479, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:28:24.820724', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.752192, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:28:24.820843', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.685356, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:28:54.865152', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.737538, 'Memory (MB)': 328.1640625}
{'Timestamp': '2024-11-22T21:28:54.865299', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.656687, 'Memory (MB)': 215.5234375}
{'Timestamp': '2024-11-22T21:28:54.865355', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.678241, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:29:24.917261', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.748424, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:29:24.917612', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.677877, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:29:24.917671', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.713099, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:29:54.965370', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.7444, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:29:54.965518', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.72923, 'Memory (MB)': 215.51953125}
